# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(ii) Δc = +0.01,global (period-level prediction),2,1.334017,-0.000571,0.000677,-0.001248,0.5070,-0.004812,0.002281,nan,nan
(ii) Δc = +0.01,W60,3,1.192302,-0.000684,-0.000358,-0.000326,0.7626,-0.002218,0.001823,-0.000203,-0.002067
(ii) Δc = +0.01,global (run-level prediction),3,1.341721,-0.003888,-0.000000,-0.003888,0.1824,-0.008556,0.001421,nan,nan
(ii) Δc = +0.01,global (period-level prediction),3,1.341721,-0.003888,-0.002275,-0.001612,0.3711,-0.004894,0.001525,nan,nan
(ii) Δc = +0.01,W60,4,1.188569,-0.000270,0.000059,-0.000329,0.7465,-0.002330,0.001493,0.000238,-0.000505
(ii) Δc = +0.01,global (run-level prediction),4,1.336045,-0.001076,0.000000,-0.001076,0.6864,-0.005956,0.003962,nan,nan
(ii) Δc = +0.01,global (period-level prediction),4,1.336045,-0.001076,0.000311,-0.001387,0.5438,-0.005813,0.002573,nan,nan
(ii) Δc = +0.01,W60,5,1.187943,-0.000231,-0.001562,0.001332,0.2854,-0.000799,0.003623,0.000136,-0.000129
(ii) Δc = +0.01,global (run-level prediction),5,1.334121,-0.002198,-0.000000,-0.002198,0.4418,-0.007471,0.002860,nan,nan
(ii) Δc = +0.01,global (period-level prediction),5,1.334121,-0.002198,-0.000009,-0.002189,0.4058,-0.007622,0.001908,nan,nan
(ii) Δc = +0.01,W60,6,1.190832,0.000598,-0.000223,0.000820,0.3516,-0.000727,0.002470,0.000629,0.000036
(ii) Δc = +0.01,global (run-level prediction),6,1.337005,0.000409,0.000000,0.000409,0.8707,-0.003841,0.005249,nan,nan
(ii) Δc = +0.01,global (period-level prediction),6,1.337005,0.000409,0.001314,-0.000905,0.5726,-0.003759,0.002189,nan,nan
(ii) Δc = +0.01,W60,7,1.184939,-0.003566,-0.004314,0.000748,0.5126,-0.001217,0.002781,0.000035,0.001781
(ii) Δc = +0.01,global (run-level prediction),7,1.332718,-0.006964,-0.000000,-0.006964,0.0490,-0.013532,-0.001151,nan,nan
(ii) Δc = +0.01,global (period-level prediction),7,1.332718,-0.006964,-0.004684,-0.002279,0.3984,-0.007419,0.002497,nan,nan
(ii) Δc = +0.01,W60,8,1.186325,-0.000887,-0.000284,-0.000603,0.6549,-0.003039,0.001881,0.000200,-0.001310
(ii) Δc = +0.01,global (run-level prediction),8,1.330653,0.001403,0.000000,0.001403,0.6727,-0.004992,0.007583,nan,nan
(ii) Δc = +0.01,global (period-level prediction),8,1.330653,0.001403,0.000612,0.000790,0.6703,-0.002538,0.004243,nan,nan
(ii) Δc = +0.01,W60,9,1.189283,-0.001723,0.000364,-0.002087,0.1444,-0.004682,0.000420,0.000186,0.000638
(ii) Δc = +0.01,global (run-level prediction),9,1.336636,-0.002425,0.000000,-0.002425,0.4395,-0.007790,0.002935,nan,nan
(ii) Δc = +0.01,global (period-level prediction),9,1.336636,-0.002425,0.000237,-0.002662,0.0773,-0.005281,0.000023,nan,nan
(ii) Δc = +0.01,W60,10,1.184753,0.001352,0.000467,0.000885,0.5996,-0.002080,0.003854,-0.000174,-0.000091
(ii) Δc = +0.01,global (run-level prediction),10,1.332837,0.000892,-0.000000,0.000892,0.6998,-0.002973,0.005076,nan,nan
(ii) Δc = +0.01,global (period-level prediction),10,1.332837,0.000892,-0.001971,0.002863,0.1841,-0.000891,0.006684,nan,nan
(ii) Δc = +0.01,W60,11,1.185085,0.002924,0.002569,0.000355,0.8176,-0.002576,0.003144,-0.000282,-0.000295
(ii) Δc = +0.01,global (run-level prediction),11,1.332922,-0.000285,-0.000000,-0.000285,0.9426,-0.006829,0.007256,nan,nan
