# partB22_aligned_directed.py; one row per variant, subject, run and W = 60 window; git=a9d9ca4
variant,subject,run,window,A_other,A_same,winsign,B,D,Sym,D_plus_Sym,Both,rms_anti,residual,sd_r1,sd_absq
ts_gsr,3,PCB,14,0.0032415978,0.0048145178,0.0061179681,0.017153185,-0.04094608,-0.010041312,-0.050987392,-0.053179177,0.11024132,-0.052492955,0.022780279,0.20103461
ts_gsr,4,DMT,1,0.0030301794,0.002831989,0.0074458463,0.024794148,-0.03253011,-0.009465333,-0.041995443,-0.04361402,0.10021053,-0.043385308,0.023990887,0.18347905
ts_gsr,4,DMT,2,0.0037282077,0.00455315,0.0089172086,0.029140862,-0.034817065,-0.024314761,-0.059131826,-0.061257619,0.10167485,-0.060871547,0.030834199,0.19554641
ts_gsr,4,DMT,3,0.0013917893,0.0022032892,0.0078623283,0.025271182,-0.034291714,-0.016408754,-0.050700467,-0.052544251,0.099960095,-0.051702761,0.030623294,0.19529137
ts_gsr,4,DMT,4,0.0020851694,0.0034395382,0.0083381656,0.029799016,-0.034198538,-0.017851369,-0.052049907,-0.054094662,0.098209695,-0.053371582,0.022375783,0.17978622
ts_gsr,4,DMT,5,-0.0011097077,0.00060703777,0.0076121586,0.027526233,-0.034855474,-0.0064888231,-0.041344297,-0.042963682,0.10536172,-0.04279729,0.029200946,0.18064768
ts_gsr,4,DMT,6,0.0022250057,0.0030093201,0.0054915263,0.022262087,-0.032842978,-0.00020224944,-0.033045227,-0.034246017,0.10933717,-0.034014564,0.029612025,0.16612805
ts_gsr,4,DMT,7,0.00499941,0.0055287897,0.0099007906,0.033390418,-0.033518667,-0.016877767,-0.050396434,-0.052403643,0.10258464,-0.051917306,0.030301306,0.18528631
ts_gsr,4,DMT,8,0.000689283,0.0022538023,0.0078335427,0.028481361,-0.032124841,-0.012366831,-0.044491672,-0.046282441,0.1026094,-0.045643972,0.028531973,0.17638127
ts_gsr,4,DMT,9,0.0021091126,0.0025990017,0.0091423666,0.033747296,-0.032167412,-0.015762075,-0.047929487,-0.049731432,0.1001833,-0.049599238,0.029600614,0.1747143
ts_gsr,4,DMT,10,0.0029609427,0.0036745457,0.0092881365,0.034175131,-0.034593312,-0.019152279,-0.053745591,-0.055654324,0.10344132,-0.055286074,0.032259578,0.18290001
ts_gsr,4,DMT,11,0.0032297025,0.0023246299,0.0063004102,0.023758164,-0.038154591,-0.0068448831,-0.044999474,-0.046481206,0.11555922,-0.04565594,0.028772607,0.17912798
ts_gsr,4,DMT,12,0.00542567,0.0048110667,0.0079983297,0.029380257,-0.031303475,-0.0099342193,-0.041237694,-0.042951768,0.10412836,-0.042844736,0.029812244,0.17850199
ts_gsr,4,DMT,13,0.0043034715,0.0044459762,0.0094619487,0.033385016,-0.031007482,-0.016214595,-0.047222078,-0.048948752,0.097640539,-0.047706348,0.033120043,0.18171155
ts_gsr,4,DMT,14,0.0013129409,0.0015890317,0.0072047556,0.024776394,-0.03137677,-0.010651292,-0.042028063,-0.043657814,0.098339198,-0.043656457,0.025761985,0.1842632
ts_gsr,4,PCB,1,0.00042578553,0.0017875312,0.0062900354,0.022795973,-0.035260889,-0.011164948,-0.046425837,-0.048048603,0.10597912,-0.048052204,0.025676566,0.18216476
ts_gsr,4,PCB,2,0.003626299,0.005245969,0.0074510639,0.028698558,-0.032774667,-0.0093289444,-0.042103611,-0.043784828,0.10633551,-0.043501383,0.027326089,0.16927518
ts_gsr,4,PCB,3,0.0047831452,0.0064179525,0.010662203,0.031968809,-0.031346742,-0.028247183,-0.059593924,-0.062143116,0.093834099,-0.062091239,0.030314816,0.20628232
ts_gsr,4,PCB,4,0.0014351968,0.0023225172,0.0076112393,0.027308532,-0.030890797,-0.0048200596,-0.035710857,-0.036969522,0.10225752,-0.036725748,0.03038874,0.17656752
ts_gsr,4,PCB,5,0.00089697097,0.00093120847,0.008672698,0.03221907,-0.034509859,-0.014985813,-0.049495672,-0.051158471,0.10344071,-0.050840516,0.036750248,0.17905161
ts_gsr,4,PCB,6,0.0019023672,0.0023936536,0.0070607524,0.026373019,-0.032479259,-0.012590742,-0.045070001,-0.046346742,0.099887892,-0.045328563,0.03281529,0.18695276
ts_gsr,4,PCB,7,0.0069349151,0.008318701,0.012481758,0.042577468,-0.028303286,-0.029259508,-0.057562794,-0.059598322,0.084855531,-0.058356227,0.028269302,0.18653244
ts_gsr,4,PCB,8,0.0028672857,0.0042691905,0.0099123277,0.030661557,-0.034912575,-0.038953758,-0.073866333,-0.076425529,0.089214766,-0.075167401,0.028228966,0.20937041
ts_gsr,4,PCB,9,0.0030158259,0.0037627074,0.010254932,0.037263352,-0.029388891,-0.011641277,-0.041030168,-0.042821375,0.097685293,-0.042439087,0.029723469,0.17689048
ts_gsr,4,PCB,10,0.0023147834,0.0038386484,0.0064562847,0.021605464,-0.041920788,-0.015748886,-0.057669674,-0.059484588,0.11646194,-0.057451998,0.032805067,0.19336694
ts_gsr,4,PCB,11,0.0058553333,0.008676321,0.010190621,0.032203216,-0.035286219,-0.028641142,-0.063927361,-0.066973393,0.094238832,-0.065904875,0.029122301,0.19863695
ts_gsr,4,PCB,12,0.0027939284,0.0036199746,0.0055784473,0.020867314,-0.033532009,-0.0037224672,-0.037254476,-0.038581192,0.10881165,-0.037760522,0.026816958,0.175043
ts_gsr,4,PCB,13,0.0019358953,0.003296613,0.0076988126,0.025813365,-0.034424846,-0.014211756,-0.048636602,-0.050463434,0.10084841,-0.050548075,0.024835523,0.19116692
ts_gsr,4,PCB,14,0.00029692856,0.0021507805,0.0063306111,0.022771601,-0.035294882,-0.0085243382,-0.04381922,-0.045360275,0.10364209,-0.045253894,0.026163335,0.18271546
ts_gsr,5,DMT,1,0.0037479616,0.0040432306,0.0077646107,0.026318827,-0.033491278,-0.01788857,-0.051379848,-0.05334279,0.098215687,-0.053327347,0.024442171,0.18646412
ts_gsr,5,DMT,2,0.0016232967,0.003255822,0.0072721793,0.023826938,-0.042052142,-0.016398301,-0.058450443,-0.061153613,0.11325304,-0.06029673,0.028562923,0.2001966
ts_gsr,5,DMT,3,0.0012110263,0.0022421648,0.0063447388,0.023992658,-0.030619176,-0.0075771153,-0.038196291,-0.039484129,0.100621,-0.038970015,0.028544131,0.18159093
ts_gsr,5,DMT,4,0.0038587177,0.0032334875,0.0086182251,0.028903326,-0.035200697,-0.012853352,-0.048054049,-0.049937085,0.10663697,-0.047379527,0.031349622,0.18328589
ts_gsr,5,DMT,5,0.0018872061,0.0023172492,0.0054637509,0.019862243,-0.0335891,6.6281147e-05,-0.033522819,-0.034415532,0.10812986,-0.032243218,0.029783507,0.17433684
ts_gsr,5,DMT,6,-0.00086091011,-0.00089684441,0.0016799106,0.0067594412,-0.033065934,0.006706984,-0.02635895,-0.027086728,0.11776056,-0.026718453,0.030671178,0.16959614
ts_gsr,5,DMT,7,0.0033573025,0.0017444751,0.002691237,0.0090085921,-0.048152253,-0.0034238146,-0.051576067,-0.05310181,0.12486725,-0.052895948,0.029579466,0.20966723
ts_gsr,5,DMT,8,0.0021284594,0.001661795,0.0053030316,0.019061306,-0.033687119,-0.0043841167,-0.038071236,-0.039489483,0.10556617,-0.038939425,0.025571439,0.18428215
ts_gsr,5,DMT,9,-0.001851036,-0.0013288476,0.0038066931,0.014320864,-0.033130504,0.0019049876,-0.031225517,-0.032116584,0.10801364,-0.031854292,0.032293305,0.17897776
ts_gsr,5,DMT,10,0.0025374732,0.0041239262,0.007487682,0.022065814,-0.038389987,-0.018980902,-0.057370889,-0.059458532,0.10519226,-0.059051105,0.0279661,0.20688785
ts_gsr,5,DMT,11,0.0012715741,0.0029515981,0.010272487,0.031603774,-0.032868966,-0.026159818,-0.059028784,-0.061423372,0.093123242,-0.060878275,0.025113488,0.19568934
ts_gsr,5,DMT,12,-0.0020917011,-0.0005278669,0.0069754736,0.02303675,-0.033251276,-0.0050427442,-0.03829402,-0.039384097,0.10102933,-0.038332877,0.028609927,0.18979432
ts_gsr,5,DMT,13,0.0023635799,0.0036146497,0.0068399447,0.021746062,-0.037813681,-0.013933629,-0.05174731,-0.053614312,0.10750765,-0.052942904,0.031006572,0.19663255
ts_gsr,5,DMT,14,0.0018676353,0.0036744875,0.0080041206,0.028013823,-0.035758258,-0.0099748389,-0.045733097,-0.047418146,0.1053284,-0.046955782,0.031278135,0.18298939
